,id,title,duration[s],comment number,comment number normalize
0,7I8WRJRZb54,おいしくな～れ　もえもえきゅん♡,5390,1999,0.3708719851576994
1,kOKqxZYK8MU,きょうもきょうとてようぢたいこう,5047,1854,0.3673469387755102
2,ldeijRQdcyE,よるのおうたれんしゅう,2327,869,0.3734422002578427
3,FyiXt1CJpi8,【リスナー参加企画】おぎゃり隊修学旅行計画！→雑談【小城夜みるく】,8017,2994,0.37345640513907946
4,4UGIPvaQCSo,#3【星のカービィ ディスカバリー】戦うぽょ～！【小城夜みるく】,7563,2302,0.3043765701441227
5,YeL2W93tZgw,カービィディスカバリーアンガーマネジメント失敗編,988,371,0.37550607287449395
6,Ax627RhcwvU,あたまがカチ割れそうな赤子とはなそ♪,8130,3322,0.408610086100861
7,-XXHs6McMcU,赤子とはなそ♪,25312,6567,0.2594421618204804
8,oOukTZqe6Nw,雨の日のんびりながらざつだん,12719,3532,0.27769478732604763
9,pV4fi28Wp74,【隠れ糖尿！？】低体重赤子、血液検査の結果が出る【深層組 / 小城夜みるく】,4749,2587,0.5447462623710255
10,JA0wFbhcCAo,#2【星のカービィ ディスカバリー】吸うぽょ～！【小城夜みるく】,10363,2668,0.2574544050950497
11,xOzuMAxJvD8,グラフィグ組み立てながらざつだん,11786,0,0.0
12,kRVlNb2Uu7M,#1【星のカービィ ディスカバリー】やるぽょ～！【小城夜みるく】,15439,3668,0.23758015415506187
13,GnkJpOSj9uA,雨の日のんびりながらざつだん,11075,3394,0.30645598194130924
14,62K2XV7_v0Y,かわいい赤ちゃんとおはなししよ～,7184,3436,0.4782850779510022
15,6cu7qzHA_Bo,kawaii歌枠,3879,1320,0.3402938901778809
16,G-u9uOUVvO4,プレゼント開封式,5859,2342,0.3997269158559481
17,3Au0SBhN_5I,【among us】タスク人生【小城夜みるく視点】,8942,1735,0.19402818161485128
18,swWwp5cnRuE,深層祭ありがとうございました,12555,5111,0.40708880923934687
19,tUhqiQLKOIQ,極度の緊張状態の赤子にリラクゼーションドリンクを飲ませたら落ち着くのか？,4468,2825,0.6322739480752014
20,RV-06R3cKdQ,ニートタイム　のんびりカービィ体験版,8011,2021,0.2522781175883161
21,DPDx1tYtdyo,赤子、はじめての音声合成にふれる,4316,1720,0.3985171455050973
22,SPvdj-EGz1s,陰キャほームパーティーたのしかった～,6006,3440,0.5727605727605728
23,YqaGY9qzV-o,【マリカ8DX】バブとあそぼ♪【視聴者参加型】,6448,1351,0.20952233250620347
24,9Qf7oSjzVyM,ねおきのあかちゃんとおはなししよ～,3157,1178,0.3731390560658853
25,XVD-OsIMeM4,ゲリラうた,6746,2315,0.34316632078268605
26,wGAY5tApTkY,【雑談】はっぴ～な赤子によるはっぴ～報告【小城夜みるく】,6326,2654,0.4195384128991464
27,OPUsNyFqg5Q,【歌枠/マロ】おうたうたいながらマロたびる【小城夜みるく】,7193,1804,0.2507993882941749
28,LYh_T7U-UA0,朝がはやいとおひるごろからアホほどねむくなる赤子のざつだん,11141,0,0.0
29,6yBDhDb1oK4,【Muse Dash】ルンチョなきぶん♪【小城夜みるく】,8789,1325,0.15075662760268518
30,61B6XsXdJeU,深層祭がたのちみな赤ちゃんのざつだん,4327,1110,0.2565287728218165
